module	Gene	Cluster	MappedGroup
DMG5_0	SOX6	1	DMG
DMG5_0	PLP1	1	DMG
DMG5_0	OLIG1	1	DMG
DMG5_0	BCAN	1	DMG
DMG5_0	SIRT2	1	DMG
DMG5_0	AQP1	1	DMG
DMG5_0	ZNF488	1	DMG
DMG5_0	NCAN	1	DMG
DMG5_0	CNTN1	1	DMG
DMG5_0	SNORC	1	DMG
DMG5_0	GPR17	1	DMG
DMG5_0	OLIG2	1	DMG
DMG5_0	SMOC1	1	DMG
DMG5_0	BCAS1	1	DMG
DMG5_0	PHYHIPL	1	DMG
DMG5_0	PCP4	1	DMG
DMG5_0	MBP	1	DMG
DMG5_0	TNR	1	DMG
DMG5_0	EDNRB	1	DMG
DMG5_0	TIMP4	1	DMG
DMG5_0	SNX22	1	DMG
DMG5_0	MOG	1	DMG
DMG5_0	CSPG5	1	DMG
DMG5_0	HBA2	1	DMG
DMG5_0	TUBB4A	1	DMG
DMG5_0	COL9A3	1	DMG
DMG5_0	HBA1	1	DMG
DMG5_0	PRL	1	DMG
DMG5_0	HBB	1	DMG
DMG5_0	BEX1	1	DMG
DMG5_0	HES5	1	DMG
DMG5_0	LINC00844	1	DMG
DMG5_0	ASCL1	1	DMG
DMG5_0	COL11A2	1	DMG
DMG5_0	PLPPR1	1	DMG
DMG5_0	KCNJ10	1	DMG
DMG5_0	OMG	1	DMG
DMG5_0	SOX10	1	DMG
DMG5_0	LINC02283	1	DMG
DMG5_0	ATP1A2	1	DMG
DMG5_0	GPR37L1	1	DMG
DMG5_0	WFDC1	1	DMG
DMG5_0	SEMA6D	1	DMG
DMG5_0	NKAIN4	1	DMG
DMG5_0	CMTM5	1	DMG
DMG5_0	TMEM132B	1	DMG
DMG5_0	LINC01579	1	DMG
DMG5_0	SEZ6L	1	DMG
DMG5_0	TMEM108	1	DMG
DMG5_0	PLLP	1	DMG
DMG5_1	PLA2G2A	2	DMG
DMG5_1	FCGBP	2	DMG
DMG5_1	CCL2	2	DMG
DMG5_1	EFEMP1	2	DMG
DMG5_1	CD163	2	DMG
DMG5_1	F13A1	2	DMG
DMG5_1	STAB1	2	DMG
DMG5_1	VSIG4	2	DMG
DMG5_1	MS4A6A	2	DMG
DMG5_1	LAIR1	2	DMG
DMG5_1	PLAU	2	DMG
DMG5_1	GPR34	2	DMG
DMG5_1	HAS2	2	DMG
DMG5_1	SCIN	2	DMG
DMG5_1	CYBB	2	DMG
DMG5_1	CPVL	2	DMG
DMG5_1	MS4A7	2	DMG
DMG5_1	HLA-DMB	2	DMG
DMG5_1	RASD1	2	DMG
DMG5_1	LRRN3	2	DMG
DMG5_1	SLC34A2	2	DMG
DMG5_1	LTF	2	DMG
DMG5_1	CXCL12	2	DMG
DMG5_1	FYB1	2	DMG
DMG5_1	ADAP2	2	DMG
DMG5_1	ABCC3	2	DMG
DMG5_1	MS4A4A	2	DMG
DMG5_1	CD4	2	DMG
DMG5_1	C21orf62	2	DMG
DMG5_1	CYP19A1	2	DMG
DMG5_1	LCP2	2	DMG
DMG5_1	CEBPA	2	DMG
DMG5_1	NCKAP1L	2	DMG
DMG5_1	FGL2	2	DMG
DMG5_1	ABI3	2	DMG
DMG5_1	LAT2	2	DMG
DMG5_1	ACTG2	2	DMG
